travelers,Cost,international,destination,flights,Origin,Date,destination_code,Origin_code
74537,3923,['0'],NYC,288,BOS,2016-09,137,33
72265,3982,['0'],CHI,356,BOS,2016-09,46,33
59506,3318,['0'],WAS,136,BOS,2016-09,224,33
56885,3075,['0'],SFO,357,BOS,2016-09,193,33
46519,2422,['0'],LAX,539,BOS,2016-09,100,33
36344,2216,['0'],ATL,352,BOS,2016-09,10,33
33960,1966,['0'],DFW,321,BOS,2016-09,59,33
32206,1684,['0'],BWI,272,BOS,2016-09,40,33
31255,2083,['0'],PHL,94,BOS,2016-09,156,33
30618,1702,['1'],LON,189,BOS,2016-09,106,33
30150,1933,['0'],ORL,319,BOS,2016-09,145,33
29094,1936,['0'],FLL,208,BOS,2016-09,71,33
28916,1784,['0'],DEN,202,BOS,2016-09,58,33
24259,1367,['0'],SEA,491,BOS,2016-09,191,33
23090,1500,['0'],MSP,405,BOS,2016-09,128,33
21994,1445,['1'],YTO,91,BOS,2016-09,228,33
20827,1229,['0'],DTT,153,BOS,2016-09,63,33
20729,1194,['0'],CLT,92,BOS,2016-09,50,33
20441,1262,['0'],LAS,789,BOS,2016-09,99,33
20429,1288,['0'],HOU,242,BOS,2016-09,90,33
20164,1051,['0'],TPA,324,BOS,2016-09,216,33
18907,1053,['0'],RDU,217,BOS,2016-09,174,33
17586,985,['0'],MIA,60,BOS,2016-09,118,33
16759,981,['0'],SAN,793,BOS,2016-09,183,33
16364,911,['0'],PHX,697,BOS,2016-09,157,33
16299,965,['0'],FMY,313,BOS,2016-09,73,33
15693,1003,['0'],BNA,178,BOS,2016-09,29,33
15085,963,['0'],PIT,139,BOS,2016-09,158,33
13282,812,['0'],RIC,138,BOS,2016-09,176,33
13280,754,['0'],PBI,170,BOS,2016-09,151,33
12881,678,['0'],AUS,575,BOS,2016-09,12,33
11742,760,['0'],BUF,166,BOS,2016-09,37,33
11554,674,['0'],PDX,651,BOS,2016-09,152,33
11250,570,['1'],DUB,110,BOS,2016-09,64,33
11074,715,['0'],CLE,210,BOS,2016-09,48,33
10165,597,['0'],STL,322,BOS,2016-09,206,33
10112,544,['1'],SJU,209,BOS,2016-09,199,33
10050,584,['0'],CMH,320,BOS,2016-09,51,33
9899,555,['0'],IND,271,BOS,2016-09,94,33
9470,618,['0'],MKE,251,BOS,2016-09,121,33
9269,615,['0'],MSY,417,BOS,2016-09,129,33
9103,482,['1'],PAR,700,BOS,2016-09,150,33
8992,540,['1'],REK,66,BOS,2016-09,175,33
8315,526,['0'],SLC,383,BOS,2016-09,200,33
8182,463,['0'],MKC,411,BOS,2016-09,120,33
7816,475,['0'],CHS,260,BOS,2016-09,47,33
7570,445,['0'],JAX,340,BOS,2016-09,96,33
7113,474,['1'],DXB,108,BOS,2016-09,66,33
6048,309,['0'],CVG,359,BOS,2016-09,55,33
5826,303,['1'],BJS,228,BOS,2016-09,25,33
187791,10306,['0'],NYC,533,CHI,2016-09,137,46
94745,6244,['0'],LAX,504,CHI,2016-09,100,46
80018,5084,['0'],ATL,413,CHI,2016-09,10,46
78959,5066,['0'],DFW,351,CHI,2016-09,59,46
75551,4597,['0'],WAS,117,CHI,2016-09,224,46
75363,3934,['0'],BOS,342,CHI,2016-09,33,46
73573,4144,['0'],SFO,329,CHI,2016-09,193,46
70693,4185,['0'],ORL,501,CHI,2016-09,145,46
69895,4561,['0'],DEN,378,CHI,2016-09,58,46
68610,3754,['0'],LAS,409,CHI,2016-09,99,46
66609,3512,['0'],MSP,441,CHI,2016-09,128,46
62921,4107,['0'],PHX,297,CHI,2016-09,157,46
58062,3836,['0'],PHL,194,CHI,2016-09,156,46
50513,2731,['0'],HOU,231,CHI,2016-09,90,46
42098,2540,['0'],SEA,308,CHI,2016-09,191,46
37774,2415,['0'],BWI,329,CHI,2016-09,40,46
35803,1860,['0'],TPA,222,CHI,2016-09,216,46
31439,1690,['0'],SAN,273,CHI,2016-09,183,46
30405,1911,['0'],MIA,226,CHI,2016-09,118,46
29843,1670,['0'],DTT,216,CHI,2016-09,63,46
28780,1487,['0'],MKC,98,CHI,2016-09,120,46
27519,1520,['1'],YTO,172,CHI,2016-09,228,46
26785,1505,['0'],BNA,175,CHI,2016-09,29,46
26713,1389,['0'],AUS,211,CHI,2016-09,12,46
26299,1616,['0'],RDU,185,CHI,2016-09,174,46
26187,1741,['0'],FLL,208,CHI,2016-09,71,46
26080,1544,['0'],CLT,167,CHI,2016-09,50,46
25868,1383,['0'],PDX,339,CHI,2016-09,152,46
25021,1445,['0'],STL,87,CHI,2016-09,206,46
21414,1254,['0'],CLE,154,CHI,2016-09,48,46
21091,1092,['0'],MSY,231,CHI,2016-09,129,46
20759,1325,['0'],CMH,89,CHI,2016-09,51,46
19512,1259,['0'],PIT,176,CHI,2016-09,158,46
18965,959,['0'],SLC,329,CHI,2016-09,200,46
17567,1112,['0'],SNA,100,CHI,2016-09,201,46
16705,843,['1'],LON,281,CHI,2016-09,106,46
14120,785,['0'],HFD,101,CHI,2016-09,87,46
12958,793,['0'],OMA,77,CHI,2016-09,140,46
12654,720,['0'],OAK,121,CHI,2016-09,138,46
12404,683,['1'],MEX,355,CHI,2016-09,116,46
11784,631,['0'],SAT,141,CHI,2016-09,186,46
11680,742,['1'],SJU,309,CHI,2016-09,199,46
10752,652,['0'],SJC,193,CHI,2016-09,196,46
10340,686,['0'],BUF,77,CHI,2016-09,37,46
9896,525,['0'],FMY,246,CHI,2016-09,73,46
9798,622,['1'],CUN,200,CHI,2016-09,53,46
9767,611,['0'],CHS,61,CHI,2016-09,47,46
9625,621,['1'],GDL,136,CHI,2016-09,78,46
9429,512,['0'],SAC,251,CHI,2016-09,181,46
9427,496,['1'],SHA,611,CHI,2016-09,194,46
115789,6841,['0'],NYC,384,ATL,2016-09,137,10
79055,4357,['0'],CHI,457,ATL,2016-09,46,10
60306,3892,['0'],DFW,261,ATL,2016-09,59,10
59478,3053,['0'],WAS,318,ATL,2016-09,224,10
51347,2967,['0'],FLL,195,ATL,2016-09,71,10
44182,2676,['0'],LAX,501,ATL,2016-09,100,10
43596,2218,['0'],PHL,487,ATL,2016-09,156,10
40323,2314,['0'],ORL,276,ATL,2016-09,145,10
38086,2233,['0'],HOU,418,ATL,2016-09,90,10
37158,2180,['0'],BOS,268,ATL,2016-09,33,10
34686,1962,['0'],BWI,224,ATL,2016-09,40,10
34517,1864,['0'],LAS,342,ATL,2016-09,99,10
32821,2139,['0'],DEN,388,ATL,2016-09,58,10
32766,1739,['0'],MIA,156,ATL,2016-09,118,10
31467,1645,['0'],DTT,156,ATL,2016-09,63,10
30597,1554,['0'],TPA,178,ATL,2016-09,216,10
25867,1322,['0'],SFO,218,ATL,2016-09,193,10
23412,1492,['0'],MSP,169,ATL,2016-09,128,10
22076,1466,['0'],PHX,372,ATL,2016-09,157,10
17931,954,['0'],SEA,107,ATL,2016-09,191,10
17872,1115,['0'],MSY,166,ATL,2016-09,129,10
16480,850,['0'],STL,166,ATL,2016-09,206,10
16181,827,['0'],RDU,179,ATL,2016-09,174,10
15423,837,['0'],MKC,206,ATL,2016-09,120,10
15003,785,['0'],IND,165,ATL,2016-09,94,10
14609,868,['0'],AUS,169,ATL,2016-09,12,10
14407,872,['0'],CLE,186,ATL,2016-09,48,10
14103,793,['0'],PIT,193,ATL,2016-09,158,10
13280,758,['0'],MKE,190,ATL,2016-09,121,10
12950,712,['0'],JAX,81,ATL,2016-09,96,10
12900,752,['0'],CLT,66,ATL,2016-09,50,10
12576,653,['0'],PBI,68,ATL,2016-09,151,10
12056,634,['0'],RIC,71,ATL,2016-09,176,10
11841,771,['0'],SAT,198,ATL,2016-09,186,10
11822,706,['0'],SAN,233,ATL,2016-09,183,10
11156,582,['0'],CMH,78,ATL,2016-09,51,10
10939,559,['0'],HFD,86,ATL,2016-09,87,10
10084,528,['0'],SLC,91,ATL,2016-09,200,10
8588,492,['0'],CVG,78,ATL,2016-09,55,10
8194,416,['1'],LON,184,ATL,2016-09,106,10
8137,438,['0'],PDX,455,ATL,2016-09,152,10
8092,507,['0'],CAK,66,ATL,2016-09,42,10
7767,480,['0'],FMY,66,ATL,2016-09,73,10
6816,423,['0'],BNA,24,ATL,2016-09,29,10
6785,449,['0'],MEM,66,ATL,2016-09,115,10
6660,398,['0'],ORF,49,ATL,2016-09,143,10
6620,429,['1'],SJU,37,ATL,2016-09,199,10
6615,381,['0'],GSP,77,ATL,2016-09,80,10
6555,402,['0'],CHS,23,ATL,2016-09,47,10
6524,431,['0'],SNA,283,ATL,2016-09,201,10
113441,6491,['0'],NYC,387,MIA,2016-09,137,118
33532,1793,['0'],ATL,156,MIA,2016-09,10,118
30683,1859,['1'],BUE,485,MIA,2016-09,36,118
29509,1669,['0'],CHI,235,MIA,2016-09,46,118
28651,1540,['0'],LAX,40,MIA,2016-09,100,118
23304,1478,['0'],WAS,76,MIA,2016-09,224,118
21990,1120,['1'],MEX,175,MIA,2016-09,116,118
21266,1183,['1'],CCS,81,MIA,2016-09,44,118
20643,1220,['0'],DFW,38,MIA,2016-09,59,118
18190,1132,['0'],BOS,25,MIA,2016-09,33,118
17460,1013,['0'],PHL,79,MIA,2016-09,156,118
15199,917,['1'],SAO,186,MIA,2016-09,184,118
14579,797,['1'],BOG,272,MIA,2016-09,31,118
14001,716,['1'],LON,229,MIA,2016-09,106,118
13612,851,['0'],LAS,129,MIA,2016-09,99,118
13361,683,['0'],HOU,80,MIA,2016-09,90,118
12578,786,['0'],SFO,162,MIA,2016-09,193,118
12427,798,['0'],ORL,68,MIA,2016-09,145,118
12029,753,['1'],SJU,12,MIA,2016-09,199,118
12014,787,['0'],DEN,106,MIA,2016-09,58,118
11094,571,['1'],CUN,66,MIA,2016-09,53,118
10292,544,['0'],DTT,117,MIA,2016-09,63,118
9318,534,['1'],LIM,173,MIA,2016-09,104,118
8749,471,['0'],TPA,11,MIA,2016-09,216,118
8022,490,['0'],MSP,130,MIA,2016-09,128,118
8013,435,['1'],NAS,66,MIA,2016-09,134,118
7923,477,['0'],BWI,25,MIA,2016-09,40,118
7872,444,['1'],PTY,66,MIA,2016-09,167,118
7097,461,['1'],SCL,229,MIA,2016-09,188,118
7004,457,['0'],RDU,49,MIA,2016-09,174,118
6995,396,['1'],MAD,193,MIA,2016-09,108,118
6409,386,['1'],GCM,66,MIA,2016-09,77,118
6320,405,['0'],CLT,24,MIA,2016-09,50,118
5735,340,['1'],AUA,277,MIA,2016-09,11,118
5719,356,['1'],YTO,113,MIA,2016-09,228,118
5573,310,['1'],MDE,229,MIA,2016-09,114,118
5485,352,['1'],SDQ,11,MIA,2016-09,190,118
5353,339,['1'],PAP,150,MIA,2016-09,149,118
5334,278,['1'],IST,49,MIA,2016-09,95,118
5176,333,['0'],MSY,78,MIA,2016-09,129,118
5038,256,['1'],PAR,322,MIA,2016-09,150,118
4905,322,['1'],BLA,11,MIA,2016-09,27,118
4827,299,['1'],MGA,66,MIA,2016-09,117,118
4690,235,['0'],SEA,384,MIA,2016-09,191,118
4638,274,['1'],CLO,115,MIA,2016-09,49,118
4460,231,['1'],UIO,140,MIA,2016-09,220,118
4424,268,['1'],GYE,50,MIA,2016-09,83,118
4420,240,['0'],SAN,170,MIA,2016-09,183,118
4297,223,['0'],PHX,157,MIA,2016-09,157,118
4263,233,['1'],RIO,262,MIA,2016-09,177,118
147963,7458,['0'],NYC,551,SFO,2016-09,137,193
101756,5458,['0'],LAX,445,SFO,2016-09,100,193
73755,4877,['0'],CHI,311,SFO,2016-09,46,193
71072,4080,['0'],LAS,480,SFO,2016-09,99,193
55949,3516,['0'],SEA,276,SFO,2016-09,191,193
53043,2816,['0'],BOS,328,SFO,2016-09,33,193
50724,2800,['0'],WAS,286,SFO,2016-09,224,193
50530,3209,['0'],SAN,159,SFO,2016-09,183,193
46481,2880,['0'],DEN,296,SFO,2016-09,58,193
36297,2293,['0'],DFW,251,SFO,2016-09,59,193
31373,1745,['1'],LON,226,SFO,2016-09,106,193
30670,1542,['0'],PHX,320,SFO,2016-09,157,193
30532,1898,['0'],SNA,83,SFO,2016-09,201,193
30074,1719,['0'],PDX,168,SFO,2016-09,152,193
27255,1543,['0'],ATL,218,SFO,2016-09,10,193
24308,1322,['0'],MSP,356,SFO,2016-09,128,193
22875,1320,['0'],PHL,248,SFO,2016-09,156,193
22773,1245,['0'],HOU,263,SFO,2016-09,90,193
20495,1320,['1'],YVR,153,SFO,2016-09,229,193
19172,1103,['0'],HNL,175,SFO,2016-09,89,193
17968,1062,['1'],YTO,270,SFO,2016-09,228,193
16849,993,['0'],AUS,355,SFO,2016-09,12,193
16825,1049,['0'],ORL,791,SFO,2016-09,145,193
16756,1110,['0'],DTT,244,SFO,2016-09,63,193
15319,797,['1'],TPE,198,SFO,2016-09,217,193
15095,879,['1'],PAR,459,SFO,2016-09,150,193
14496,795,['1'],HKG,451,SFO,2016-09,88,193
14420,742,['0'],BUR,79,SFO,2016-09,39,193
14372,887,['0'],FLL,285,SFO,2016-09,71,193
13737,794,['1'],SHA,1001,SFO,2016-09,194,193
13452,702,['0'],SLC,182,SFO,2016-09,200,193
12949,729,['1'],SEL,507,SFO,2016-09,192,193
12588,745,['0'],OGG,150,SFO,2016-09,139,193
12291,721,['0'],MIA,266,SFO,2016-09,118,193
11375,597,['0'],STL,372,SFO,2016-09,206,193
10729,601,['0'],CLT,228,SFO,2016-09,50,193
10397,636,['0'],LGB,12,SFO,2016-09,102,193
10101,561,['0'],RDU,711,SFO,2016-09,174,193
9026,463,['0'],BWI,644,SFO,2016-09,40,193
8892,538,['1'],FRA,360,SFO,2016-09,75,193
8536,474,['0'],CLE,472,SFO,2016-09,48,193
8176,499,['0'],MKE,323,SFO,2016-09,121,193
7979,430,['1'],MNL,271,SFO,2016-09,123,193
7839,505,['0'],PIT,408,SFO,2016-09,158,193
7474,446,['1'],TYO,217,SFO,2016-09,219,193
7148,471,['1'],MEX,163,SFO,2016-09,116,193
6998,424,['0'],MSY,363,SFO,2016-09,129,193
6910,393,['0'],IND,441,SFO,2016-09,94,193
6805,431,['0'],ONT,23,SFO,2016-09,141,193
6793,433,['1'],DUB,470,SFO,2016-09,64,193
187532,12175,['1'],DUB,232,LON,2016-09,64,106
172662,9012,['1'],NYC,654,LON,2016-09,137,106
163846,9828,['1'],AMS,384,LON,2016-09,8,106
140868,7916,['1'],BCN,591,LON,2016-09,14,106
129654,7466,['0'],EDI,232,LON,2016-09,68,106
114120,6058,['1'],MIL,161,LON,2016-09,119,106
109173,7097,['1'],PAR,202,LON,2016-09,150,106
107983,6822,['1'],MAD,314,LON,2016-09,108,106
101715,5119,['1'],ROM,429,LON,2016-09,179,106
96003,6032,['1'],CPH,198,LON,2016-09,52,106
95708,6097,['0'],GLA,260,LON,2016-09,79,106
92594,5871,['1'],AGP,775,LON,2016-09,4,106
87752,5803,['1'],DXB,472,LON,2016-09,66,106
84133,5012,['1'],BER,180,LON,2016-09,16,106
82367,5427,['0'],BFS,167,LON,2016-09,19,106
76705,4128,['1'],FRA,147,LON,2016-09,75,106
74360,4955,['1'],GVA,159,LON,2016-09,82,106
67019,3401,['1'],FAO,781,LON,2016-09,69,106
65131,3760,['1'],ZRH,213,LON,2016-09,231,106
64974,3553,['1'],STO,161,LON,2016-09,207,106
64787,3499,['1'],ALC,534,LON,2016-09,6,106
63117,3641,['1'],PMI,1032,LON,2016-09,160,106
60748,3105,['1'],MUC,99,LON,2016-09,130,106
58297,3157,['1'],LIS,241,LON,2016-09,105,106
57406,3587,['1'],BUD,101,LON,2016-09,35,106
56669,3445,['1'],VCE,339,LON,2016-09,221,106
52925,3020,['1'],NCE,168,LON,2016-09,135,106
50554,3328,['1'],IST,192,LON,2016-09,95,106
47949,3157,['1'],TCI,1113,LON,2016-09,212,106
46404,2550,['1'],IBZ,1143,LON,2016-09,93,106
44843,2966,['1'],PRG,167,LON,2016-09,163,106
43075,2716,['1'],ATH,93,LON,2016-09,9,106
42409,2661,['1'],OSL,101,LON,2016-09,148,106
42235,2262,['1'],YTO,218,LON,2016-09,228,106
41667,2256,['1'],VIE,190,LON,2016-09,222,106
39827,2049,['1'],BUH,157,LON,2016-09,38,106
39029,2205,['1'],TLV,501,LON,2016-09,215,106
36685,2253,['1'],WAW,89,LON,2016-09,225,106
35722,2013,['1'],HKG,300,LON,2016-09,88,106
35354,2126,['1'],LAX,467,LON,2016-09,100,106
34445,2238,['1'],PSA,100,LON,2016-09,164,106
33833,1822,['1'],DUS,178,LON,2016-09,65,106
33467,1998,['1'],ACE,1029,LON,2016-09,2,106
33455,1984,['1'],NAP,530,LON,2016-09,133,106
33325,1755,['1'],HAM,198,LON,2016-09,84,106
32717,2085,['1'],MAH,596,LON,2016-09,109,106
32400,2064,['1'],DLM,926,LON,2016-09,61,106
32108,1917,['1'],SFO,193,LON,2016-09,193,106
31730,1655,['1'],PFO,552,LON,2016-09,153,106
31405,1760,['1'],BOS,183,LON,2016-09,33,106
129392,8616,['0'],TLS,138,PAR,2016-09,214,150
111846,6061,['0'],NCE,149,PAR,2016-09,135,150
108088,7042,['1'],LON,206,PAR,2016-09,106,150
103237,6258,['1'],BCN,238,PAR,2016-09,14,150
85163,4661,['1'],MIL,247,PAR,2016-09,119,150
83115,4323,['1'],ROM,151,PAR,2016-09,179,150
80376,5133,['1'],MAD,454,PAR,2016-09,108,150
75430,4408,['1'],NYC,674,PAR,2016-09,137,150
72280,4492,['1'],LIS,353,PAR,2016-09,105,150
60643,3103,['1'],ALG,357,PAR,2016-09,7,150
56992,2932,['0'],MRS,24,PAR,2016-09,126,150
52118,2973,['0'],BOD,24,PAR,2016-09,30,150
51453,3031,['1'],OPO,306,PAR,2016-09,142,150
48016,2583,['1'],VCE,355,PAR,2016-09,221,150
46669,2463,['1'],AMS,136,PAR,2016-09,8,150
41244,2189,['1'],BER,103,PAR,2016-09,16,150
37275,2089,['1'],IST,294,PAR,2016-09,95,150
36546,1928,['1'],TUN,336,PAR,2016-09,218,150
35623,1865,['1'],CPH,291,PAR,2016-09,52,150
34933,2251,['1'],YMQ,192,PAR,2016-09,227,150
34862,2047,['1'],GVA,24,PAR,2016-09,82,150
34468,1800,['1'],DUB,290,PAR,2016-09,64,150
31834,1723,['1'],TLV,348,PAR,2016-09,215,150
31717,2078,['1'],MUC,88,PAR,2016-09,130,150
30659,1597,['1'],FRA,70,PAR,2016-09,75,150
27969,1783,['1'],AGP,264,PAR,2016-09,4,150
27884,1760,['1'],VIE,306,PAR,2016-09,222,150
26824,1502,['1'],ATH,262,PAR,2016-09,9,150
26668,1759,['1'],RAK,227,PAR,2016-09,172,150
25957,1595,['1'],RUN,117,PAR,2016-09,180,150
24790,1650,['1'],PRG,283,PAR,2016-09,163,150
23952,1370,['1'],CAS,215,PAR,2016-09,43,150
23920,1313,['1'],STO,158,PAR,2016-09,207,150
23798,1216,['1'],MOW,115,PAR,2016-09,124,150
23053,1331,['0'],MPL,23,PAR,2016-09,125,150
21846,1451,['1'],ZRH,68,PAR,2016-09,231,150
21757,1270,['1'],DJE,157,PAR,2016-09,60,150
21206,1104,['1'],VLC,88,PAR,2016-09,223,150
20599,1079,['1'],DXB,106,PAR,2016-09,66,150
20596,1310,['0'],BIQ,76,PAR,2016-09,24,150
20250,1042,['1'],SVQ,135,PAR,2016-09,210,150
19449,1099,['0'],AJA,351,PAR,2016-09,5,150
19283,1041,['1'],NAP,253,PAR,2016-09,133,150
19278,1065,['1'],BUD,245,PAR,2016-09,35,150
18646,1238,['1'],MAN,161,PAR,2016-09,110,150
18541,1006,['1'],PTP,220,PAR,2016-09,166,150
17387,906,['1'],FDF,306,PAR,2016-09,70,150
16546,1085,['1'],HAM,161,PAR,2016-09,84,150
16010,875,['1'],ORN,149,PAR,2016-09,146,150
15811,795,['1'],WAW,101,PAR,2016-09,225,150
63157,3722,['0'],NYC,299,BOS,2015-09,137,33
55075,3257,['0'],WAS,387,BOS,2015-09,224,33
46492,2935,['0'],CHI,994,BOS,2015-09,46,33
45764,2537,['0'],SFO,1182,BOS,2015-09,193,33
39650,2467,['0'],LAX,1657,BOS,2015-09,100,33
32182,1728,['0'],ATL,599,BOS,2015-09,10,33
31407,1636,['0'],ORL,920,BOS,2015-09,145,33
29994,1643,['0'],BWI,203,BOS,2015-09,40,33
26096,1714,['0'],FLL,499,BOS,2015-09,71,33
22474,1408,['1'],LON,961,BOS,2015-09,106,33
21350,1245,['0'],DFW,630,BOS,2015-09,59,33
19538,1227,['0'],DEN,651,BOS,2015-09,58,33
18367,997,['0'],PHL,176,BOS,2015-09,156,33
17832,1176,['0'],CLT,270,BOS,2015-09,50,33
16824,1065,['0'],TPA,1028,BOS,2015-09,216,33
16083,894,['0'],MSP,614,BOS,2015-09,128,33
15918,958,['0'],LAS,1618,BOS,2015-09,99,33
15117,953,['0'],RDU,401,BOS,2015-09,174,33
15079,849,['1'],YTO,165,BOS,2015-09,228,33
14992,916,['0'],FMY,534,BOS,2015-09,73,33
13528,854,['0'],SEA,862,BOS,2015-09,191,33
13528,827,['0'],PBI,347,BOS,2015-09,151,33
13338,709,['0'],MIA,375,BOS,2015-09,118,33
12968,654,['0'],PIT,161,BOS,2015-09,158,33
12966,655,['0'],SAN,1032,BOS,2015-09,183,33
12457,727,['0'],HOU,722,BOS,2015-09,90,33
11915,752,['0'],PHX,684,BOS,2015-09,157,33
10999,597,['1'],DUB,635,BOS,2015-09,64,33
10990,567,['0'],DTT,222,BOS,2015-09,63,33
9525,623,['0'],BUF,209,BOS,2015-09,37,33
8713,545,['1'],PAR,1018,BOS,2015-09,150,33
7606,421,['1'],SJU,357,BOS,2015-09,199,33
7468,393,['0'],AUS,852,BOS,2015-09,12,33
7311,414,['0'],RIC,229,BOS,2015-09,176,33
6921,430,['0'],STL,521,BOS,2015-09,206,33
6643,436,['0'],MKE,541,BOS,2015-09,121,33
6493,363,['0'],MSY,539,BOS,2015-09,129,33
6176,341,['0'],CVG,254,BOS,2015-09,55,33
6174,388,['0'],PDX,857,BOS,2015-09,152,33
6114,361,['0'],JAX,787,BOS,2015-09,96,33
6011,333,['1'],REK,77,BOS,2015-09,175,33
5839,328,['1'],AMS,421,BOS,2015-09,8,33
5734,357,['0'],MKC,421,BOS,2015-09,120,33
5600,301,['1'],BJS,479,BOS,2015-09,25,33
5482,359,['1'],DXB,415,BOS,2015-09,66,33
5460,364,['0'],IND,334,BOS,2015-09,94,33
5428,335,['0'],SLC,538,BOS,2015-09,200,33
5312,299,['1'],SHA,1029,BOS,2015-09,194,33
5259,309,['0'],LGB,99,BOS,2015-09,102,33
5160,293,['1'],TYO,841,BOS,2015-09,219,33
140202,7092,['0'],NYC,1212,CHI,2015-09,137,46
61356,3385,['0'],LAX,1791,CHI,2015-09,100,46
55769,2855,['0'],WAS,819,CHI,2015-09,224,46
54086,3093,['0'],LAS,1252,CHI,2015-09,99,46
51430,2654,['0'],ORL,892,CHI,2015-09,145,46
50591,2974,['0'],ATL,1145,CHI,2015-09,10,46
47158,2967,['0'],MSP,830,CHI,2015-09,128,46
47068,2649,['0'],BOS,927,CHI,2015-09,33,46
45860,3001,['0'],DFW,808,CHI,2015-09,59,46
45384,2746,['0'],DEN,1140,CHI,2015-09,58,46
43431,2218,['0'],PHX,1212,CHI,2015-09,157,46
43366,2607,['0'],SFO,1439,CHI,2015-09,193,46
40642,2501,['0'],PHL,767,CHI,2015-09,156,46
34388,2092,['0'],HOU,818,CHI,2015-09,90,46
28903,1732,['0'],TPA,599,CHI,2015-09,216,46
28797,1636,['0'],FLL,624,CHI,2015-09,71,46
27046,1524,['0'],BWI,647,CHI,2015-09,40,46
25592,1359,['0'],MKC,327,CHI,2015-09,120,46
25267,1579,['1'],YTO,1228,CHI,2015-09,228,46
25083,1368,['0'],DTT,414,CHI,2015-09,63,46
24966,1663,['0'],SEA,759,CHI,2015-09,191,46
24670,1554,['0'],SAN,920,CHI,2015-09,183,46
22670,1212,['0'],STL,271,CHI,2015-09,206,46
21278,1099,['0'],MIA,486,CHI,2015-09,118,46
21063,1402,['0'],BNA,247,CHI,2015-09,29,46
20665,1132,['0'],FMY,631,CHI,2015-09,73,46
19892,1132,['0'],CLE,386,CHI,2015-09,48,46
18793,1148,['1'],TYO,541,CHI,2015-09,219,46
18496,1064,['0'],CMH,230,CHI,2015-09,51,46
17208,1082,['0'],PIT,453,CHI,2015-09,158,46
16588,913,['0'],CLT,594,CHI,2015-09,50,46
16470,934,['0'],RDU,484,CHI,2015-09,174,46
15559,975,['1'],LON,1285,CHI,2015-09,106,46
15397,882,['0'],SNA,318,CHI,2015-09,201,46
13567,738,['0'],AUS,414,CHI,2015-09,12,46
13330,837,['0'],MSY,977,CHI,2015-09,129,46
12785,650,['0'],PDX,890,CHI,2015-09,152,46
12727,771,['0'],OMA,261,CHI,2015-09,140,46
12006,712,['0'],HFD,392,CHI,2015-09,87,46
11595,743,['0'],SLC,730,CHI,2015-09,200,46
11015,656,['0'],SAT,438,CHI,2015-09,186,46
10695,646,['1'],SJU,574,CHI,2015-09,199,46
10475,582,['1'],MEX,407,CHI,2015-09,116,46
10127,655,['0'],BUF,207,CHI,2015-09,37,46
9664,533,['0'],SDF,99,CHI,2015-09,189,46
9470,555,['0'],OAK,259,CHI,2015-09,138,46
9390,560,['1'],CUN,318,CHI,2015-09,53,46
9375,556,['1'],SHA,757,CHI,2015-09,194,46
8850,487,['1'],GDL,224,CHI,2015-09,78,46
8297,453,['0'],JAX,431,CHI,2015-09,96,46
101589,6619,['0'],NYC,811,ATL,2015-09,137,10
51295,2758,['0'],CHI,911,ATL,2015-09,46,10
47459,2389,['0'],WAS,621,ATL,2015-09,224,10
44001,2512,['0'],DFW,821,ATL,2015-09,59,10
34742,1772,['0'],FLL,305,ATL,2015-09,71,10
32871,2073,['0'],LAX,1411,ATL,2015-09,100,10
32119,1925,['0'],PHL,748,ATL,2015-09,156,10
31503,1879,['0'],BOS,491,ATL,2015-09,33,10
27247,1452,['0'],BWI,522,ATL,2015-09,40,10
25432,1417,['0'],ORL,495,ATL,2015-09,145,10
24324,1497,['0'],HOU,668,ATL,2015-09,90,10
24125,1541,['0'],DEN,1047,ATL,2015-09,58,10
23320,1466,['0'],LAS,1361,ATL,2015-09,99,10
22717,1337,['0'],SFO,646,ATL,2015-09,193,10
20764,1262,['0'],MIA,479,ATL,2015-09,118,10
20349,1119,['0'],TPA,379,ATL,2015-09,216,10
19486,985,['0'],DTT,526,ATL,2015-09,63,10
18563,1117,['0'],MSP,568,ATL,2015-09,128,10
16009,809,['0'],SEA,669,ATL,2015-09,191,10
15953,1026,['0'],RDU,347,ATL,2015-09,174,10
14807,966,['0'],PHX,729,ATL,2015-09,157,10
14034,835,['0'],CLT,66,ATL,2015-09,50,10
12566,786,['0'],MSY,749,ATL,2015-09,129,10
12290,677,['0'],MKC,473,ATL,2015-09,120,10
12168,659,['0'],STL,501,ATL,2015-09,206,10
12101,637,['0'],PIT,506,ATL,2015-09,158,10
11436,750,['0'],JAX,162,ATL,2015-09,96,10
11176,613,['0'],MKE,302,ATL,2015-09,121,10
10845,612,['0'],RIC,122,ATL,2015-09,176,10
10636,657,['0'],PBI,79,ATL,2015-09,151,10
10151,585,['0'],IND,367,ATL,2015-09,94,10
10011,590,['1'],LON,859,ATL,2015-09,106,10
9459,539,['0'],SAT,282,ATL,2015-09,186,10
9420,510,['0'],MEM,32,ATL,2015-09,115,10
9344,534,['0'],SAN,579,ATL,2015-09,183,10
8673,528,['0'],SLC,381,ATL,2015-09,200,10
8574,501,['0'],HPN,47,ATL,2015-09,91,10
8100,416,['0'],BUF,308,ATL,2015-09,37,10
8091,455,['0'],FMY,276,ATL,2015-09,73,10
7961,464,['0'],CMH,223,ATL,2015-09,51,10
