flights,travelers,international,destination
193,14103,['0'],PIT,ATL,2016-09
190,13280,['0'],MKE,ATL,2016-09
81,12950,['0'],JAX,ATL,2016-09
66,12900,['0'],CLT,ATL,2016-09
68,12576,['0'],PBI,ATL,2016-09
71,12056,['0'],RIC,ATL,2016-09
198,11841,['0'],SAT,ATL,2016-09
233,11822,['0'],SAN,ATL,2016-09
78,11156,['0'],CMH,ATL,2016-09
86,10939,['0'],HFD,ATL,2016-09
91,10084,['0'],SLC,ATL,2016-09
78,8588,['0'],CVG,ATL,2016-09
184,8194,['1'],LON,ATL,2016-09
455,8137,['0'],PDX,ATL,2016-09
66,8092,['0'],CAK,ATL,2016-09
66,7767,['0'],FMY,ATL,2016-09
24,6816,['0'],BNA,ATL,2016-09
66,6785,['0'],MEM,ATL,2016-09
49,6660,['0'],ORF,ATL,2016-09
37,6620,['1'],SJU,ATL,2016-09
77,6615,['0'],GSP,ATL,2016-09
23,6555,['0'],CHS,ATL,2016-09
283,6524,['0'],SNA,ATL,2016-09
387,113441,['0'],NYC,MIA,2016-09
156,33532,['0'],ATL,MIA,2016-09
485,30683,['1'],BUE,MIA,2016-09
235,29509,['0'],CHI,MIA,2016-09
40,28651,['0'],LAX,MIA,2016-09
76,23304,['0'],WAS,MIA,2016-09
175,21990,['1'],MEX,MIA,2016-09
81,21266,['1'],CCS,MIA,2016-09
38,20643,['0'],DFW,MIA,2016-09
25,18190,['0'],BOS,MIA,2016-09
79,17460,['0'],PHL,MIA,2016-09
186,15199,['1'],SAO,MIA,2016-09
272,14579,['1'],BOG,MIA,2016-09
229,14001,['1'],LON,MIA,2016-09
129,13612,['0'],LAS,MIA,2016-09
80,13361,['0'],HOU,MIA,2016-09
162,12578,['0'],SFO,MIA,2016-09
68,12427,['0'],ORL,MIA,2016-09
12,12029,['1'],SJU,MIA,2016-09
106,12014,['0'],DEN,MIA,2016-09
66,11094,['1'],CUN,MIA,2016-09
117,10292,['0'],DTT,MIA,2016-09
173,9318,['1'],LIM,MIA,2016-09
11,8749,['0'],TPA,MIA,2016-09
130,8022,['0'],MSP,MIA,2016-09
66,8013,['1'],NAS,MIA,2016-09
25,7923,['0'],BWI,MIA,2016-09
66,7872,['1'],PTY,MIA,2016-09
229,7097,['1'],SCL,MIA,2016-09
49,7004,['0'],RDU,MIA,2016-09
193,6995,['1'],MAD,MIA,2016-09
66,6409,['1'],GCM,MIA,2016-09
24,6320,['0'],CLT,MIA,2016-09
277,5735,['1'],AUA,MIA,2016-09
113,5719,['1'],YTO,MIA,2016-09
229,5573,['1'],MDE,MIA,2016-09
11,5485,['1'],SDQ,MIA,2016-09
150,5353,['1'],PAP,MIA,2016-09
49,5334,['1'],IST,MIA,2016-09
78,5176,['0'],MSY,MIA,2016-09
322,5038,['1'],PAR,MIA,2016-09
11,4905,['1'],BLA,MIA,2016-09
66,4827,['1'],MGA,MIA,2016-09
384,4690,['0'],SEA,MIA,2016-09
115,4638,['1'],CLO,MIA,2016-09
140,4460,['1'],UIO,MIA,2016-09
50,4424,['1'],GYE,MIA,2016-09
170,4420,['0'],SAN,MIA,2016-09
157,4297,['0'],PHX,MIA,2016-09
262,4263,['1'],RIO,MIA,2016-09
551,147963,['0'],NYC,SFO,2016-09
445,101756,['0'],LAX,SFO,2016-09
311,73755,['0'],CHI,SFO,2016-09
480,71072,['0'],LAS,SFO,2016-09
276,55949,['0'],SEA,SFO,2016-09
328,53043,['0'],BOS,SFO,2016-09
286,50724,['0'],WAS,SFO,2016-09
159,50530,['0'],SAN,SFO,2016-09
296,46481,['0'],DEN,SFO,2016-09
251,36297,['0'],DFW,SFO,2016-09
226,31373,['1'],LON,SFO,2016-09
320,30670,['0'],PHX,SFO,2016-09
83,30532,['0'],SNA,SFO,2016-09
168,30074,['0'],PDX,SFO,2016-09
218,27255,['0'],ATL,SFO,2016-09
356,24308,['0'],MSP,SFO,2016-09
248,22875,['0'],PHL,SFO,2016-09
263,22773,['0'],HOU,SFO,2016-09
153,20495,['1'],YVR,SFO,2016-09
175,19172,['0'],HNL,SFO,2016-09
270,17968,['1'],YTO,SFO,2016-09
355,16849,['0'],AUS,SFO,2016-09
791,16825,['0'],ORL,SFO,2016-09
244,16756,['0'],DTT,SFO,2016-09
198,15319,['1'],TPE,SFO,2016-09
459,15095,['1'],PAR,SFO,2016-09
451,14496,['1'],HKG,SFO,2016-09
79,14420,['0'],BUR,SFO,2016-09
285,14372,['0'],FLL,SFO,2016-09
1001,13737,['1'],SHA,SFO,2016-09
182,13452,['0'],SLC,SFO,2016-09
507,12949,['1'],SEL,SFO,2016-09
150,12588,['0'],OGG,SFO,2016-09
266,12291,['0'],MIA,SFO,2016-09
372,11375,['0'],STL,SFO,2016-09
228,10729,['0'],CLT,SFO,2016-09
12,10397,['0'],LGB,SFO,2016-09
711,10101,['0'],RDU,SFO,2016-09
644,9026,['0'],BWI,SFO,2016-09
360,8892,['1'],FRA,SFO,2016-09
472,8536,['0'],CLE,SFO,2016-09
323,8176,['0'],MKE,SFO,2016-09
271,7979,['1'],MNL,SFO,2016-09
408,7839,['0'],PIT,SFO,2016-09
217,7474,['1'],TYO,SFO,2016-09
163,7148,['1'],MEX,SFO,2016-09
363,6998,['0'],MSY,SFO,2016-09
441,6910,['0'],IND,SFO,2016-09
23,6805,['0'],ONT,SFO,2016-09
470,6793,['1'],DUB,SFO,2016-09
232,187532,['1'],DUB,LON,2016-09
654,172662,['1'],NYC,LON,2016-09
384,163846,['1'],AMS,LON,2016-09
591,140868,['1'],BCN,LON,2016-09
232,129654,['0'],EDI,LON,2016-09
161,114120,['1'],MIL,LON,2016-09
202,109173,['1'],PAR,LON,2016-09
314,107983,['1'],MAD,LON,2016-09
429,101715,['1'],ROM,LON,2016-09
198,96003,['1'],CPH,LON,2016-09
260,95708,['0'],GLA,LON,2016-09
775,92594,['1'],AGP,LON,2016-09
472,87752,['1'],DXB,LON,2016-09
180,84133,['1'],BER,LON,2016-09
167,82367,['0'],BFS,LON,2016-09
147,76705,['1'],FRA,LON,2016-09
159,74360,['1'],GVA,LON,2016-09
781,67019,['1'],FAO,LON,2016-09
213,65131,['1'],ZRH,LON,2016-09
161,64974,['1'],STO,LON,2016-09
534,64787,['1'],ALC,LON,2016-09
1032,63117,['1'],PMI,LON,2016-09
99,60748,['1'],MUC,LON,2016-09
241,58297,['1'],LIS,LON,2016-09
101,57406,['1'],BUD,LON,2016-09
339,56669,['1'],VCE,LON,2016-09
168,52925,['1'],NCE,LON,2016-09
192,50554,['1'],IST,LON,2016-09
1113,47949,['1'],TCI,LON,2016-09
1143,46404,['1'],IBZ,LON,2016-09
167,44843,['1'],PRG,LON,2016-09
93,43075,['1'],ATH,LON,2016-09
101,42409,['1'],OSL,LON,2016-09
218,42235,['1'],YTO,LON,2016-09
190,41667,['1'],VIE,LON,2016-09
157,39827,['1'],BUH,LON,2016-09
501,39029,['1'],TLV,LON,2016-09
89,36685,['1'],WAW,LON,2016-09
300,35722,['1'],HKG,LON,2016-09
467,35354,['1'],LAX,LON,2016-09
100,34445,['1'],PSA,LON,2016-09
178,33833,['1'],DUS,LON,2016-09
1029,33467,['1'],ACE,LON,2016-09
530,33455,['1'],NAP,LON,2016-09
198,33325,['1'],HAM,LON,2016-09
596,32717,['1'],MAH,LON,2016-09
926,32400,['1'],DLM,LON,2016-09
193,32108,['1'],SFO,LON,2016-09
552,31730,['1'],PFO,LON,2016-09
183,31405,['1'],BOS,LON,2016-09
138,129392,['0'],TLS,PAR,2016-09
149,111846,['0'],NCE,PAR,2016-09
206,108088,['1'],LON,PAR,2016-09
238,103237,['1'],BCN,PAR,2016-09
247,85163,['1'],MIL,PAR,2016-09
151,83115,['1'],ROM,PAR,2016-09
454,80376,['1'],MAD,PAR,2016-09
674,75430,['1'],NYC,PAR,2016-09
353,72280,['1'],LIS,PAR,2016-09
357,60643,['1'],ALG,PAR,2016-09
24,56992,['0'],MRS,PAR,2016-09
24,52118,['0'],BOD,PAR,2016-09
306,51453,['1'],OPO,PAR,2016-09
355,48016,['1'],VCE,PAR,2016-09
136,46669,['1'],AMS,PAR,2016-09
103,41244,['1'],BER,PAR,2016-09
294,37275,['1'],IST,PAR,2016-09
336,36546,['1'],TUN,PAR,2016-09
291,35623,['1'],CPH,PAR,2016-09
192,34933,['1'],YMQ,PAR,2016-09
24,34862,['1'],GVA,PAR,2016-09
290,34468,['1'],DUB,PAR,2016-09
348,31834,['1'],TLV,PAR,2016-09
88,31717,['1'],MUC,PAR,2016-09
70,30659,['1'],FRA,PAR,2016-09
264,27969,['1'],AGP,PAR,2016-09
306,27884,['1'],VIE,PAR,2016-09
262,26824,['1'],ATH,PAR,2016-09
227,26668,['1'],RAK,PAR,2016-09
117,25957,['1'],RUN,PAR,2016-09
283,24790,['1'],PRG,PAR,2016-09
215,23952,['1'],CAS,PAR,2016-09
158,23920,['1'],STO,PAR,2016-09
115,23798,['1'],MOW,PAR,2016-09
23,23053,['0'],MPL,PAR,2016-09
68,21846,['1'],ZRH,PAR,2016-09
157,21757,['1'],DJE,PAR,2016-09
88,21206,['1'],VLC,PAR,2016-09
106,20599,['1'],DXB,PAR,2016-09
76,20596,['0'],BIQ,PAR,2016-09
135,20250,['1'],SVQ,PAR,2016-09
351,19449,['0'],AJA,PAR,2016-09
253,19283,['1'],NAP,PAR,2016-09
245,19278,['1'],BUD,PAR,2016-09
161,18646,['1'],MAN,PAR,2016-09
220,18541,['1'],PTP,PAR,2016-09
306,17387,['1'],FDF,PAR,2016-09
161,16546,['1'],HAM,PAR,2016-09
149,16010,['1'],ORN,PAR,2016-09
101,15811,['1'],WAW,PAR,2016-09
299,63157,['0'],NYC,BOS,2015-09
387,55075,['0'],WAS,BOS,2015-09
994,46492,['0'],CHI,BOS,2015-09
1182,45764,['0'],SFO,BOS,2015-09
1657,39650,['0'],LAX,BOS,2015-09
599,32182,['0'],ATL,BOS,2015-09
920,31407,['0'],ORL,BOS,2015-09
203,29994,['0'],BWI,BOS,2015-09
499,26096,['0'],FLL,BOS,2015-09
961,22474,['1'],LON,BOS,2015-09
630,21350,['0'],DFW,BOS,2015-09
651,19538,['0'],DEN,BOS,2015-09
176,18367,['0'],PHL,BOS,2015-09
270,17832,['0'],CLT,BOS,2015-09
1028,16824,['0'],TPA,BOS,2015-09
614,16083,['0'],MSP,BOS,2015-09
1618,15918,['0'],LAS,BOS,2015-09
401,15117,['0'],RDU,BOS,2015-09
165,15079,['1'],YTO,BOS,2015-09
534,14992,['0'],FMY,BOS,2015-09
347,13528,['0'],PBI,BOS,2015-09
862,13528,['0'],SEA,BOS,2015-09
375,13338,['0'],MIA,BOS,2015-09
161,12968,['0'],PIT,BOS,2015-09
1032,12966,['0'],SAN,BOS,2015-09
722,12457,['0'],HOU,BOS,2015-09
684,11915,['0'],PHX,BOS,2015-09
635,10999,['1'],DUB,BOS,2015-09
222,10990,['0'],DTT,BOS,2015-09
209,9525,['0'],BUF,BOS,2015-09
1018,8713,['1'],PAR,BOS,2015-09
357,7606,['1'],SJU,BOS,2015-09
852,7468,['0'],AUS,BOS,2015-09
229,7311,['0'],RIC,BOS,2015-09
521,6921,['0'],STL,BOS,2015-09
541,6643,['0'],MKE,BOS,2015-09
539,6493,['0'],MSY,BOS,2015-09
254,6176,['0'],CVG,BOS,2015-09
857,6174,['0'],PDX,BOS,2015-09
787,6114,['0'],JAX,BOS,2015-09
77,6011,['1'],REK,BOS,2015-09
421,5839,['1'],AMS,BOS,2015-09
421,5734,['0'],MKC,BOS,2015-09
479,5600,['1'],BJS,BOS,2015-09
415,5482,['1'],DXB,BOS,2015-09
334,5460,['0'],IND,BOS,2015-09
538,5428,['0'],SLC,BOS,2015-09
1029,5312,['1'],SHA,BOS,2015-09
99,5259,['0'],LGB,BOS,2015-09
841,5160,['1'],TYO,BOS,2015-09
1212,140202,['0'],NYC,CHI,2015-09
1791,61356,['0'],LAX,CHI,2015-09
819,55769,['0'],WAS,CHI,2015-09
1252,54086,['0'],LAS,CHI,2015-09
892,51430,['0'],ORL,CHI,2015-09
1145,50591,['0'],ATL,CHI,2015-09
830,47158,['0'],MSP,CHI,2015-09
927,47068,['0'],BOS,CHI,2015-09
808,45860,['0'],DFW,CHI,2015-09
1140,45384,['0'],DEN,CHI,2015-09
1212,43431,['0'],PHX,CHI,2015-09
1439,43366,['0'],SFO,CHI,2015-09
767,40642,['0'],PHL,CHI,2015-09
818,34388,['0'],HOU,CHI,2015-09
599,28903,['0'],TPA,CHI,2015-09
624,28797,['0'],FLL,CHI,2015-09
647,27046,['0'],BWI,CHI,2015-09
327,25592,['0'],MKC,CHI,2015-09
1228,25267,['1'],YTO,CHI,2015-09
414,25083,['0'],DTT,CHI,2015-09
759,24966,['0'],SEA,CHI,2015-09
920,24670,['0'],SAN,CHI,2015-09
271,22670,['0'],STL,CHI,2015-09
486,21278,['0'],MIA,CHI,2015-09
247,21063,['0'],BNA,CHI,2015-09
631,20665,['0'],FMY,CHI,2015-09
386,19892,['0'],CLE,CHI,2015-09
541,18793,['1'],TYO,CHI,2015-09
230,18496,['0'],CMH,CHI,2015-09
453,17208,['0'],PIT,CHI,2015-09
594,16588,['0'],CLT,CHI,2015-09
484,16470,['0'],RDU,CHI,2015-09
1285,15559,['1'],LON,CHI,2015-09
318,15397,['0'],SNA,CHI,2015-09
414,13567,['0'],AUS,CHI,2015-09
977,13330,['0'],MSY,CHI,2015-09
890,12785,['0'],PDX,CHI,2015-09
261,12727,['0'],OMA,CHI,2015-09
392,12006,['0'],HFD,CHI,2015-09
730,11595,['0'],SLC,CHI,2015-09
438,11015,['0'],SAT,CHI,2015-09
574,10695,['1'],SJU,CHI,2015-09
407,10475,['1'],MEX,CHI,2015-09
207,10127,['0'],BUF,CHI,2015-09
99,9664,['0'],SDF,CHI,2015-09
259,9470,['0'],OAK,CHI,2015-09
318,9390,['1'],CUN,CHI,2015-09
757,9375,['1'],SHA,CHI,2015-09
224,8850,['1'],GDL,CHI,2015-09
431,8297,['0'],JAX,CHI,2015-09
811,101589,['0'],NYC,ATL,2015-09
911,51295,['0'],CHI,ATL,2015-09
621,47459,['0'],WAS,ATL,2015-09
821,44001,['0'],DFW,ATL,2015-09
305,34742,['0'],FLL,ATL,2015-09
1411,32871,['0'],LAX,ATL,2015-09
748,32119,['0'],PHL,ATL,2015-09
491,31503,['0'],BOS,ATL,2015-09
522,27247,['0'],BWI,ATL,2015-09
495,25432,['0'],ORL,ATL,2015-09
668,24324,['0'],HOU,ATL,2015-09
1047,24125,['0'],DEN,ATL,2015-09
1361,23320,['0'],LAS,ATL,2015-09
646,22717,['0'],SFO,ATL,2015-09
479,20764,['0'],MIA,ATL,2015-09
379,20349,['0'],TPA,ATL,2015-09
526,19486,['0'],DTT,ATL,2015-09
568,18563,['0'],MSP,ATL,2015-09
669,16009,['0'],SEA,ATL,2015-09
347,15953,['0'],RDU,ATL,2015-09
729,14807,['0'],PHX,ATL,2015-09
66,14034,['0'],CLT,ATL,2015-09
749,12566,['0'],MSY,ATL,2015-09
473,12290,['0'],MKC,ATL,2015-09
501,12168,['0'],STL,ATL,2015-09
506,12101,['0'],PIT,ATL,2015-09
162,11436,['0'],JAX,ATL,2015-09
302,11176,['0'],MKE,ATL,2015-09
122,10845,['0'],RIC,ATL,2015-09
79,10636,['0'],PBI,ATL,2015-09
367,10151,['0'],IND,ATL,2015-09
859,10011,['1'],LON,ATL,2015-09
282,9459,['0'],SAT,ATL,2015-09
32,9420,['0'],MEM,ATL,2015-09
579,9344,['0'],SAN,ATL,2015-09
381,8673,['0'],SLC,ATL,2015-09
47,8574,['0'],HPN,ATL,2015-09
308,8100,['0'],BUF,ATL,2015-09
276,8091,['0'],FMY,ATL,2015-09
223,7961,['0'],CMH,ATL,2015-09
